sq,mmPhi,weightKgPerM,source
0.9,,,
1.25,,,
2,1.6,,
3.5,2,,
5.5,2.6,,
8,,0.39,出典：フジクラ・ダイヤケーブル(カタログ値)
14,,0.56,出典：フジクラ・ダイヤケーブル(カタログ値)
22,,0.82,出典：フジクラ・ダイヤケーブル(カタログ値)
38,,1.3,出典：フジクラ・ダイヤケーブル(カタログ値)
60,,1.99,出典：フジクラ・ダイヤケーブル(カタログ値)
100,,3.19,出典：フジクラ・ダイヤケーブル(カタログ値)
150,,4.54,出典：フジクラ・ダイヤケーブル(カタログ値)
200,,6.06,出典：フジクラ・ダイヤケーブル(カタログ値)
250,,7.42,出典：フジクラ・ダイヤケーブル(カタログ値)
325,,9.45,出典：フジクラ・ダイヤケーブル(カタログ値)
400,,12.57,出典：フジクラ・ダイヤケーブル(カタログ値)
500,,14.72,出典：フジクラ・ダイヤケーブル(カタログ値)
